,model,version,equipments,mileage,mmyy,power,use_type,n_owners,gear,fuel_type,seller_company_name,seller_CAP,seller_city,price
84,BMW i3,94 Ah,,40619,01/2018,125 kW (170 CV),Usato,1,Automatico,Elettrica,BMW MILANO SRL,20142,Milano - Mi,23500
85,BMW i3,94 AH S Range Extender Automatic,,36400,02/2017,75 kW (102 CV),Usato,1,Automatico,Elettrica,Garage di Elleci srls,24058,Romano di Lombardia - Bergamo - BG,23500
86,BMW i3,94 Ah,,4600,07/2017,75 kW (102 CV),Usato,1,Automatico,Elettrica,Extramotors - Gruppo Maccianti srl,58022,Follonica - Grosseto - Gr,23500
87,BMW i3,i3 94 Ah Navi Telecamera Pdc Unico Propriet.,,26500,09/2018,75 kW (102 CV),Usato,1,Automatico,Elettrica,Due V Auto Srl Cr,20851,Lissone - Monza e Brianza - Mb,23600
88,BMW i3,94 Ah,,33000,04/2018,75 kW (102 CV),Usato,,- (Tipo di cambio),Elettrica,Theorema srl,46047,Porto Mantovano - Mantova,23800
89,BMW i3,120 Ah Advantage,,69857,12/2018,125 kW (170 CV),Usato,1,Automatico,Elettrica,LARIO BERGAUTO SPA,24064,Grumello del Monte - Bergamo - BG,23800
90,BMW i3,-USATO GARANTITO BMW -,,29000,08/2019,125 kW (170 CV),Usato,,Automatico,Elettrica,1P Auto srl,00175,Roma - Rm,23890
91,BMW i3,i3s 120 Ah Advantage*NAVI PROFESSIONAL*FULL OPT,,9900,05/2019,75 kW (102 CV),Usato,,Automatico,Elettrica,Original Motors,00075,Lanuvio - Rm,23900
92,BMW i3,"94AH RANGE EXTENDER CERCHI 20"" LED NAVI PRO",,50000,05/2018,75 kW (102 CV),Usato,,Automatico,Elettrica/Benzina,Evolution Car Group Srl,00159,Roma - Rm,23900
93,BMW i3,"94AH RANGE EXTENDER CERCHI 20"" LED NAVI PRO",,50000,05/2018,75 kW (102 CV),Usato,,Automatico,Elettrica,Evolution Car Group Srl,00159,Roma - Rm,23900
94,BMW i3,94 Ah,,20500,06/2017,75 kW (102 CV),Usato,,Automatico,Elettrica,Mixauto Service Srl,04100,Borgo Piave - Latina - Lt,23900
95,BMW i3,,,27500,04/2018,75 kW (102 CV),Dimostrativo,1,Automatico,Elettrica,Euro Target - MultiIdee MultiAuto MultiMarche,40066,Pieve Di Cento - Bologna - Bo,23950
96,BMW i3,94h RANGE EXTENDER ANCHE NOLEGGIO,,31000,01/2018,75 kW (102 CV),Usato,1,Automatico,Elettrica/Benzina,Fourwheels,20831,Seregno - Monza Brianza - Mb,24000
97,BMW i3,94 Ah (Range Extender) 170CV,,32000,01/2018,75 kW (102 CV),Usato,,Automatico,Elettrica,Bresciani Automobili Srl,24059,Urgnano,24000
98,BMW i3,94 Ah (Range Extender),,25000,11/2017,75 kW (102 CV),Usato,1,Automatico,Elettrica/Benzina,Autocentro Pomezia,00040,Pomezia - Roma - Rm,24900
99,BMW i3,94 Ah (Range Extender),,19683,07/2017,75 kW (102 CV),Usato,,- (Tipo di cambio),Elettrica,REGGIO MOTORI SPA,42124,Reggio Emilia - Re,24900
100,BMW i3,,,30900,04/2018,75 kW (102 CV),Dimostrativo,1,Automatico,Elettrica,Euro Target - MultiIdee MultiAuto MultiMarche,40066,Pieve Di Cento - Bologna - Bo,24950
101,BMW i3,"120 Ah 170CV LED NAVI DAB 19""",,28298,03/2019,125 kW (170 CV),Usato,1,- (Tipo di cambio),Elettrica,Top Auto Srl,39040,Varna Bressanone - Bolzano,25250
102,BMW i3,94h Range Extender Km 8.500 Xenon Navigatore,,8500,07/2018,125 kW (170 CV),Usato,1,Automatico,Elettrica/Benzina,Autoecommerce Srl,40017,San Giovanni in Persiceto - Bologna - Bo,25400
103,BMW i3,120 Ah Advantage,,19000,06/2019,75 kW (102 CV),Usato,,- (Tipo di cambio),Elettrica,"Privato, ",47121,Forlì,25500
104,BMW i3,94ah,,23066,04/2018,75 kW (102 CV),Usato,,Automatico,Elettrica,CECCATO MOTORS SRL,31033,Castelfranco Veneto - Treviso - Tv,25900
105,BMW i3,94ah,,23066,04/2018,75 kW (102 CV),Usato,,Automatico,Elettrica,CECCATO MOTORS SRL,30173,Mestre - Ve,25900
106,BMW i3,94ah,,23066,04/2018,75 kW (102 CV),Usato,,Automatico,Elettrica,CECCATO MOTORS SRL,35020,Legnaro - Padova - Pd,25900
107,BMW i3,94 Ah (Range Extender),,19950,03/2019,75 kW (102 CV),Dimostrativo,1,Automatico,Elettrica,Euro Target - MultiIdee MultiAuto MultiMarche,40066,Pieve Di Cento - Bologna - Bo,25950
108,BMW i3,I3 120ah advantage,,25340,06/2019,75 kW (102 CV),Usato,1,Automatico,Elettrica,Carpoint Spa,00128,Roma - Rm,26320
109,BMW i3,"120 Ah 170CV LED NAVI DAB 19"" ADVANTAGE",,12000,05/2019,125 kW (170 CV),Usato,1,Automatico,Elettrica,FM Car Srl,47042,Cesenatico - Forlì Cesena - Fc,26900
110,BMW i3,120Ah Advantage,,32478,09/2019,75 kW (102 CV),Usato,,- (Tipo di cambio),Elettrica,AUTOCLUB SPA,41123,Modena - Mo,26900
111,BMW i3,120Ah Advantage,,32478,09/2019,75 kW (102 CV),Usato,,Automatico,Elettrica,SASSUOLAUTO SERVICE SRL,42013,Veggia Casalgrande - Reggio Emilia - Re,26900
112,BMW i3,i3 ELETTRICA 8 ANNI GARANZIA,,24000,06/2018,75 kW (102 CV),Usato,,Automatico,Elettrica,Md multibrand Srl,20090,Cusago - Milano - Mi,26990
113,BMW i3,s 120 Ah Advantage,,33672,06/2019,75 kW (102 CV),Usato,,- (Tipo di cambio),Elettrica,Selecar Novara,28100,Novara - No,27900
114,BMW i3,s EDrive Uniproprietario Pelle Navi Tetto,,35600,07/2018,75 kW (102 CV),Usato,,Automatico,Elettrica,Automobili Vendramini Srl,31046,Oderzo - Treviso,27900
115,BMW i3,(Range Extender),,12605,11/2018,125 kW (170 CV),Usato,1,Automatico,Elettrica/Benzina,ACTIVA SPA,38121,Trento - Tn,27900
116,BMW i3,(Range Extender),,12605,11/2018,125 kW (170 CV),Usato,1,Automatico,Elettrica/Benzina,BRIXINA - ACTIVA SPA,39042,Bressanone - Bolzano - Bz,27900
117,BMW i3,i3s Performance 184cvElettrica/Benz *Tetto *Radar,,18000,09/2018,135 kW (184 CV),Usato,,Automatico,Elettrica,Motors Monza Srl,20900,Monza Brianza - Mb,28400
118,BMW i3,s,,12744,06/2018,75 kW (102 CV),Usato,,Automatico,Elettrica,Mantovani Srl,06083,Ospedalicchio - Perugia - Pg,28700
119,BMW i3,120 Ah Advantage,,26487,07/2019,125 kW (170 CV),Usato,2,Automatico,Elettrica,BMW ROMA,00178,Roma - Rm,28790
